block	trial	stimulus	signal	correct	respons	rt	re	ssd
0	0	1	1	2	0	0	0	300
0	1	2	1	2	0	0	0	350
0	2	1	0	2	1	388	-3	0
0	3	1	1	0	1	601	-1	400
0	4	2	0	2	2	894	-2	0
0	5	1	0	2	1	827	-2	0
0	6	1	0	0	0	0	0	0
0	7	1	0	2	1	815	-4	0
0	8	2	0	2	2	665	-2	0
0	9	1	0	2	1	654	-2	0
0	10	2	1	0	2	522	-1	350
0	11	1	0	2	1	807	-3	0
0	12	2	1	0	2	588	-3	300
0	13	1	0	2	1	760	-3	0
0	14	2	0	2	2	838	-2	0
0	15	2	0	2	2	625	-3	0
0	16	2	0	2	2	558	0	0
0	17	1	0	2	1	872	-3	0
0	18	1	0	2	1	1199	-2	0
0	19	2	0	2	2	612	-3	0
0	20	1	0	2	1	608	-1	0
0	21	1	1	2	0	0	0	250
0	22	2	0	2	2	530	-3	0
0	23	1	1	2	0	0	0	300
0	24	2	0	2	2	884	-1	0
0	25	1	1	2	0	0	0	350
0	26	2	0	2	2	572	330	0
0	27	1	0	2	1	1225	-2	0
0	28	2	1	2	0	0	0	400
0	29	2	0	2	2	834	-3	0
0	30	2	1	2	0	0	0	450
0	31	2	0	2	2	852	-1	0
0	32	1	0	2	1	800	-3	0
0	33	1	0	2	1	677	-1	0
0	34	1	0	2	1	865	-1	0
0	35	1	0	2	1	582	-2	0
0	36	2	0	2	2	629	-3	0
0	37	2	0	2	2	519	-1	0
0	38	2	0	0	0	0	0	0
0	39	2	0	2	2	491	-3	0
0	40	2	0	2	2	621	-1	0
0	41	2	0	2	2	778	-4	0
0	42	1	1	0	1	623	-3	500
0	43	1	0	0	0	0	0	0
0	44	1	0	2	1	696	-3	0
0	45	1	0	2	1	653	-3	0
0	46	2	0	2	2	546	-3	0
0	47	1	1	0	2	566	-3	450
0	48	2	0	2	2	835	-3	0
0	49	1	0	2	1	752	-1	0
0	50	1	0	2	1	780	-1	0
0	51	2	1	0	2	585	-2	400
0	52	1	0	2	1	790	-3	0
0	53	2	0	2	2	739	0	0
0	54	1	0	2	1	855	-1	0
0	55	2	1	2	0	0	0	350
0	56	1	0	2	1	609	-3	0
0	57	2	0	2	2	884	-3	0
0	58	2	0	2	2	993	-3	0
0	59	2	0	2	2	679	27	0
0	60	1	0	2	1	763	-2	0
0	61	2	0	2	2	527	-1	0
0	62	2	1	0	2	621	-3	400
0	63	1	1	2	0	0	0	350
1	0	2	1	2	0	0	0	400
1	1	2	0	0	0	0	0	0
1	2	1	1	2	0	0	0	450
1	3	2	0	2	2	781	-3	0
1	4	1	0	2	1	961	-2	0
1	5	2	0	2	2	822	-3	0
1	6	1	1	2	0	0	0	500
1	7	2	0	2	2	661	710	0
1	8	2	1	2	0	0	0	550
1	9	2	0	2	2	849	-3	0
1	10	1	0	2	1	869	-2	0
1	11	1	1	0	1	740	-5	600
1	12	1	1	2	0	0	0	550
1	13	1	0	2	1	1019	-2	0
1	14	2	0	2	2	937	-5	0
1	15	2	0	2	2	1061	-3	0
1	16	2	0	2	2	625	-1	0
1	17	2	1	0	2	502	-24	600
1	18	1	0	2	1	851	-2	0
1	19	1	0	2	1	887	-3	0
1	20	2	0	2	2	693	-2	0
1	21	2	0	2	2	857	-1	0
1	22	2	0	2	2	717	-1	0
1	23	1	1	0	1	659	-2	550
1	24	1	0	2	1	1166	-3	0
1	25	1	1	2	0	0	0	500
1	26	1	0	0	0	0	0	0
1	27	1	0	2	1	661	-3	0
1	28	1	0	2	1	633	-1	0
1	29	2	0	2	2	672	-5	0
1	30	1	0	2	1	607	-3	0
1	31	1	0	2	1	695	-1	0
1	32	1	0	2	1	652	-1	0
1	33	2	0	2	2	553	-2	0
1	34	1	0	2	1	725	-1	0
1	35	2	0	2	2	674	-2	0
1	36	2	0	2	2	839	-3	0
1	37	1	0	2	1	572	-1	0
1	38	2	1	0	2	624	-2	550
1	39	1	1	2	0	0	0	500
1	40	2	0	2	2	867	-4	0
1	41	1	0	2	1	623	-3	0
1	42	2	0	2	2	939	-3	0
1	43	1	1	2	0	0	0	550
1	44	1	0	2	1	1000	-4	0
1	45	2	0	2	2	762	-1	0
1	46	2	0	2	2	734	-1	0
1	47	1	0	2	1	995	-3	0
1	48	2	0	2	2	705	-3	0
1	49	2	1	0	2	691	-2	600
1	50	2	0	2	2	817	-2	0
1	51	2	0	2	2	629	-1	0
1	52	1	0	2	1	810	-1	0
1	53	1	0	2	1	679	-2	0
1	54	2	1	0	2	587	-1	550
1	55	2	0	2	2	872	-1	0
1	56	1	0	2	1	628	-2	0
1	57	1	0	2	1	609	-1	0
